            -317       0	anti-K_3*0              \bar{K}_{3}{*}(1780)^{0}        
             319       0	K_4*0                   K_{4}^{*}(2045)^{0}             
            -319       0	anti-K_4*0              \bar{K}_{4}^{*}(2045)^{0}       
             321       3	K+                      K^{+}                           
            -321      -3	K-                      K^{-}                           
             323       3	K*+                     K^{*+}                          
            -323      -3	K*-                     K^{*-}                          
             325       3	K_2*+                   K_2^{*+}                        
            -325      -3	K_2*-                   K_2^{*-}                        
             327       3	K_3*+                   K_{3}^{*}(1780){+}              
            -327      -3	K_3*-                   K_{3}^{*}(1780){-}              
             329       3	K_4*+                   K_{4}^{*}(2045)^{+}             
            -329      -3	K_4*-                   K_{4}^{*}(2045)^{-}             
             330       0	phi_diff                \phi_{diff}                     
             331       0	eta'                    \eta^{\prime}                   
             333       0	phi                     \phi                            
             335       0	f'_2                    f_2^{'}                         
             350       0	B_s0L                   B_{s0}(L)                       
             411       3	D+                      D^{+}                           
            -411      -3	D-                      D^{-}                           
             413       3	D*+                     D^{*+}                          
            -413      -3	D*-                     \bar{D}^{*-}                    
             415       3	D_2*+                   D_{2}^{*+}                      
            -415      -3	D_2*-                   D_{2}^{*-}                      
             421       0	D0                      D^{0}                           
            -421       0	anti-D0                 \bar{D}^{0}                     
             422       0	D0H                     D0H                             
            -422       0	D0L                     D0L                             
             423       0	D*0                     D^{*0}                          
            -423       0	anti-D*0                \bar{D}^{*0}                    
             425       0	D_2*0                   D_{2}^{*0}                      
            -425       0	anti-D_2*0              \bar{D}_{2}^{*0}                
             431       3	D_s+                    D_{s}^{+}                       
            -431      -3	D_s-                    D_{s}^{-}                       
             433       3	D_s*+                   D_{s}^{*+}                      
            -433      -3	D_s*-                   D_{s}^{*-}                      
             435       3	D_s2*+                  D_{s2}^{*}(2573)^{+}            
            -435      -3	D_s2*-                  D_{s2}^{*}(2573)^{-}            
             440       0	psi_diff                \psi_{diff}                     
             441       0	eta_c                   \eta_{c}                        
             443       0	J/psi                   J/\psi                          
             445       0	chi_c2                  \chi_{c2}                       
             510       0	B0H                     B0H                             
             511       0	B0                      B^{0}                           
            -511       0	anti-B0                 \bar{B}^{0}                     
             513       0	B*0                     B^{*0}                          
            -513       0	anti-B*0                \bar{B}^{*0}                    
             515       0	B_2*0                   B_{2}^{*0}                      
            -515       0	anti-B_2*0              \bar{B}_{2}^{*0}                
             521       3	B+                      B^{+}                           
            -521      -3	B-                      B^{-}                           
             523       3	B*+                     B^{*+}                          
            -523      -3	B*-                     B^{*-}                          
             525       3	B_2*+                   B_{2}^{*+}                      
            -525      -3	B_2*-                   B_{2}^{*-}                      
             530       0	B_s0H                   B_{s0}(H)                       
             531       0	B_s0                    B_{s}^{0}                       
            -531       0	anti-B_s0               \bar{B}_{s}^{0}                 
             533       0	B_s*0                   B_{s}^{*0}                      
            -533       0	anti-B_s*0              \bar{B}_{s}^{*0}                
             535       0	B_s2*0                  B_{s2}^{*0}                     
            -535       0	anti-B_s2*0             \bar{B}_{s2}^{*0}               
             541       3	B_c+                    B_{c}^{+}                       
