 0.28000   0.0000   0.0001
 0.36000   0.1199   0.0103
 0.38000   0.1694   0.0160
 0.40000   0.1620   0.0332
 0.41000   0.2369   0.0159
 0.41500   0.2254   0.0173
 0.42000   0.2208   0.0305
 0.43000   0.2980   0.0256
 0.43800   0.3352   0.0442
 0.44000   0.4984   0.1138
 0.46000   0.3852   0.0439
 0.47000   0.4741   0.0239
 0.48300   0.5603   0.0215
 0.54000   0.8266   0.0470
 0.58000   1.0537   0.0659
 0.60240   1.3858   0.1254
 0.61050   1.5317   0.1718
 0.62000   1.6488   0.0886
 0.62050   1.7902   0.1242
 0.63050   2.0648   0.1328
 0.64000   1.9349   0.0991
 0.64051   2.2035   0.1323
 0.64260   2.3975   0.2331
 0.65049   2.5584   0.1511
 0.66000   2.5133   0.1706
 0.66050   2.9389   0.1357
 0.66260   2.9882   0.3591
 0.67050   3.3179   0.1502
 0.67760   3.5801   0.1746
 0.68059   3.9459   0.1654
 0.68760   4.3897   0.3050
 0.69043   4.1809   0.1428
 0.69760   4.8991   0.2074
 0.70000   5.1660   0.5419
 0.70052   5.0460   0.1357
 0.70500   4.6643   0.4695
 0.70760   5.3415   0.1615
 0.71047   5.7714   0.1570
 0.71760   6.0388   0.1898
 0.72025   6.3524   0.1853
 0.72760   6.9304   0.3659
 0.73024   7.1012   0.2457
 0.73760   7.8261   0.2946
 0.74000   9.3338   0.8201
 0.74020   7.7280   0.2525
 0.74760   8.4737   0.2254
 0.75020   8.7973   0.2529
 0.75028   8.8128   0.2594
 0.75760   9.3976   0.2380
 0.75800   8.0326   0.7281
 0.76000   9.2196   0.5989
 0.76018   9.9230   0.3329
 0.76417  10.0766   0.3162
 0.76760  10.4659   0.4209
 0.77000  10.6770   0.5055
 0.77011  10.6746   0.4236
 0.77140   9.5415   0.7541
 0.77260  10.5010   0.7565
 0.77320  10.7404   0.5648
 0.77360  11.3183   0.6274
 0.77400  11.3638   0.5521
 0.77438  11.4924   0.4974
 0.77560  12.9196   0.8316
 0.77760  14.2451   1.3932
 0.77770  12.3716   0.8362
 0.77800  14.5491   0.6206
 0.77817  14.7690   0.6976
 0.77820  14.8601   0.7675
 0.77960  15.8820   1.2604
 0.78000  17.3044   1.6822
 0.78010  17.2148   1.6125
 0.78017  17.1590   1.6128
 0.78160  18.3495   0.9853
 0.78200  17.6856   1.0568
 0.78223  18.9691   1.0574
 0.78260  19.2707   1.1995
 0.78320  17.1802   0.9894
 0.78360  17.1369   0.7074
 0.78400  17.8484   0.9206
 0.78424  17.0204   0.7086
 0.78510  14.2734   1.6333
 0.78560  13.2776   1.3509
 0.78600  12.4257   1.1388
 0.78604  12.8740   1.1389
 0.78760  10.8734   1.1434
 0.78920  11.5002   0.7032
 0.78960  10.9322   0.5531
 0.79000  10.7708   0.5105
 0.79010  10.7634   0.4243
 0.79030   9.3621   0.6332
 0.79160   9.7084   0.4693
 0.79320   8.5162   0.4639
 0.79400   8.2727   0.4648
 0.79414   8.4231   0.3633
 0.79670   7.0296   0.8775
 0.79760   7.5578   0.5130
 0.80000   6.7902   0.6120
 0.80002   7.2718   0.3318
 0.80260   6.4480   0.3043
 0.81000   5.5485   0.5663
 0.83000   4.2067   0.4296
 0.85000   3.2210   0.3372
 0.87000   2.5176   0.2588
 0.89000   1.9593   0.2032
 0.91000   1.6180   0.1684
 0.93000   1.3558   0.1470
 0.95000   1.1347   0.1201
 0.97000   1.0186   0.1099
 0.99000   0.9306   0.1025
 0.99760   1.0858   0.0837
 1.00200   1.1213   0.0983
 1.00660   1.4345   0.3269
 1.00862   1.5257   0.6212
 1.01100   1.7480   0.6123
 1.01388   6.3417   0.7343
 1.01673  19.8173   1.4291
 1.01726  25.7131   1.6691
 1.01765  31.3941   1.6703
 1.01793  33.7272   1.7906
 1.01798  37.3969   1.1939
 1.01832  43.7035   1.7920
 1.01881  46.6909   2.8700
 1.01907  53.2472   2.1536
 1.01947  51.5708   3.4724
 1.01960  57.4885   4.9105
 1.01964  48.2929   4.4318
 1.02000  54.1109   1.5070
 1.02176  23.7196   1.6839
 1.02207  18.6360   1.3238
 1.02800   4.0333   0.3652
 1.05000   1.4929   0.2045
 1.07000   1.2458   0.1712
 1.09000   1.1187   0.1380
 1.11000   1.0567   0.1530
 1.13000   0.9986   0.1362
 1.15000   0.9956   0.1352
 1.17000   1.0907   0.1355
 1.19000   1.1407   0.1384
 1.21000   1.0216   0.1155
 1.23000   1.2648   0.1412
 1.25000   1.3208   0.1496
 1.27000   1.2578   0.1480
 1.29000   1.4249   0.1551
 1.31000   1.4869   0.1594
 1.33000   1.6230   0.1749
 1.35000   1.7751   0.1929
 1.37000   1.7901   0.1912
 1.39000   1.8782   0.2001
 1.45000   1.4913   0.4844
 1.46300   1.8468   0.2712
 1.46400   1.7437   0.3704
 1.48800   2.1332   0.3061
 1.49100   2.0793   0.4098
 1.50000   2.0329   0.3228
 1.50600   2.2022   0.4442
 1.51200   2.4007   0.3424
 1.52500   2.5633   0.5894
 1.53000   2.1147   0.3236
 1.53800   2.5751   0.3815
 1.53900   2.4406   0.5730
 1.55000   2.3421   0.5536
 1.56000   2.3456   0.6168
 1.56300   2.4487   0.3659
 1.57500   2.2369   0.5144
 1.58700   2.0049   0.4933
 1.58800   2.1280   0.3196
 1.61000   2.2094   0.5077
 1.61300   2.2108   0.3297
 1.63700   2.1892   0.3396
 1.63800   1.9227   0.4327
 1.65000   1.2489   0.3450
 1.66300   2.5373   0.4790
 1.68700   2.2319   0.5246
 1.68800   2.4477   0.3611
 1.71300   2.2311   0.3205
 1.76200   2.2012   0.3326
 1.76400   1.7984   0.4302
 1.78800   2.1805   0.3499
 1.79000   1.9352   0.4799
 1.81200   1.8197   0.4161
 1.82000   2.6608   0.6869
 1.83400   2.0410   0.4650
 1.85900   1.6664   0.4380
 1.88600   1.8547   0.4918
 1.90000   1.4592   0.2773
 1.93000   1.6822   0.4120
 1.96000   1.6841   0.3850
 1.98000   1.4101   0.5872
 2.00000   2.2732   0.2026
