5.0113E-01 6.6310E-03	-6.0436E-03
5.0225E-01 6.6140E-03	-6.0590E-03
5.0338E-01 6.5969E-03	-6.0757E-03
5.0450E-01 6.5798E-03	-6.0952E-03
5.0563E-01 6.5627E-03	-6.1078E-03
5.0675E-01 6.5455E-03	-6.1150E-03
5.0788E-01 6.5284E-03	-6.1274E-03
5.0900E-01 6.5112E-03	-6.1414E-03
5.1013E-01 6.4939E-03	-6.1568E-03
5.1125E-01 6.4767E-03	-6.1761E-03
5.1238E-01 6.4594E-03	-6.2092E-03
5.1350E-01 6.4421E-03	-6.2266E-03
5.1463E-01 6.4248E-03	-6.2241E-03
5.1575E-01 6.4075E-03	-6.2308E-03
5.1688E-01 6.3901E-03	-6.2420E-03
5.1800E-01 6.3727E-03	-6.2545E-03
5.1913E-01 6.3553E-03	-6.2654E-03
5.2025E-01 6.3375E-03	-6.2630E-03
5.2138E-01 6.3180E-03	-6.2706E-03
5.2250E-01 6.2985E-03	-6.2982E-03
5.2363E-01 6.2790E-03	-6.3259E-03
5.2475E-01 6.2594E-03	-6.3535E-03
5.2588E-01 6.2399E-03	-6.3684E-03
5.2700E-01 6.2203E-03	-6.3796E-03
5.2813E-01 6.2007E-03	-6.4059E-03
5.2925E-01 6.1810E-03	-6.4282E-03
5.3038E-01 6.1614E-03	-6.4367E-03
5.3150E-01 6.1417E-03	-6.4519E-03
5.3263E-01 6.1220E-03	-6.4754E-03
5.3375E-01 6.1023E-03	-6.5044E-03
5.3488E-01 6.0826E-03	-6.5362E-03
5.3600E-01 6.0628E-03	-6.5655E-03
5.3713E-01 6.0431E-03	-6.5920E-03
5.3825E-01 6.0233E-03	-6.5991E-03
5.3938E-01 6.0035E-03	-6.6140E-03
5.4050E-01 5.9824E-03	-6.6419E-03
5.4163E-01 5.9599E-03	-6.6691E-03
5.4275E-01 5.9373E-03	-6.6981E-03
5.4388E-01 5.9147E-03	-6.7090E-03
5.4500E-01 5.8920E-03	-6.7147E-03
5.4613E-01 5.8694E-03	-6.7533E-03
5.4725E-01 5.8467E-03	-6.7879E-03
5.4838E-01 5.8241E-03	-6.8087E-03
5.4950E-01 5.8014E-03	-6.8265E-03
5.5063E-01 5.7786E-03	-6.8404E-03
5.5175E-01 5.7559E-03	-6.8516E-03
5.5288E-01 5.7332E-03	-6.8615E-03
5.5400E-01 5.7104E-03	-6.8956E-03
